Designator,Mid X,Mid Y,Layer,Rotation
C1,10.500000,38.000000,Top,90.000000
C2,13.600000,39.270000,Top,90.000000
C3,25.200000,37.000000,Top,0.000000
C4,24.000000,39.270000,Top,90.000000
C5,31.500000,44.500000,Top,0.000000
C6,31.500000,40.500000,Top,0.000000
C7,31.500000,36.500000,Top,0.000000
C8,36.000000,40.900000,Top,0.000000
C9,35.500000,47.800000,Top,0.000000
C10,36.000000,45.500000,Top,0.000000
C11,61.700000,42.400000,Top,0.000000
C12,15.065000,27.500000,Top,90.000000
C13,10.800000,19.500000,Top,180.000000
C14,55.810000,14.000000,Top,90.000000
D1,24.000000,26.000000,Top,-90.000000
D3,10.000000,30.000000,Top,90.000000
D4,14.500000,15.800000,Top,90.000000
D6,39.000000,30.000000,Top,0.000000
F1,24.000000,18.500000,Top,90.000000
J1,11.000000,11.000000,Top,0.000000
J3,52.000000,6.000000,Top,90.000000
L1,25.000000,44.500000,Top,0.000000
R1,21.900000,33.000000,Top,90.000000
R2,24.300000,34.500000,Top,0.000000
R3,36.000000,43.200000,Top,0.000000
R4,59.000000,45.000000,Top,90.000000
R5,36.000000,38.500000,Top,0.000000
R6,36.000000,36.000000,Top,0.000000
R7,60.000000,47.500000,Top,0.000000
R8,62.000000,45.200000,Top,90.000000
R9,35.000000,30.000000,Top,0.000000
R10,20.500000,21.000000,Top,0.000000
R18,59.800000,39.000000,Top,0.000000
R19,59.800000,37.000000,Top,180.000000
R20,54.500000,33.000000,Top,0.000000
SW1,31.000000,24.000000,Top,0.000000
SW2,42.000000,24.000000,Top,0.000000
U1,19.000000,38.000000,Top,0.000000
U2,48.000000,42.000000,Top,0.000000
U3,15.700000,22.000000,Top,-90.000000
U4,55.810000,10.000000,Top,90.000000
