Ref,Val,Package,PosX,PosY,Rot,Side
C1,2.2uF / 100V,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder__Hand,11.500000,129.000000,90.000000,top
C2,220nF / 100V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,18.000000,132.300000,90.000000,top
C3,1uF / 25V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,33.000000,125.000000,0.000000,top
C4,100nF / 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,32.000000,132.000000,90.000000,top
C5,22uF / 25V,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder__Hand,40.000000,139.000000,0.000000,top
C6,22uF / 25V,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder__Hand,40.000000,132.000000,0.000000,top
C7,22uF / 25V,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder__Hand,40.000000,125.000000,0.000000,top
C8,1uF / 25V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,106.000000,128.000000,0.000000,top
C9,10uF / 16V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,105.000000,142.000000,180.000000,top
C10,100nF / 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,109.500000,147.000000,180.000000,top
C11,100nF / 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,138.000000,142.000000,0.000000,top
C12,100nF / 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,25.365000,39.000000,90.000000,top
C13,100nF / 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,21.000000,26.000000,180.000000,top
C14,100nF / 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,134.810000,20.000000,90.000000,top
D1,SS110 / 100V,D_SMA__Hand,38.000000,33.000000,-90.000000,top
D3,SMBJ24CA,D_SMB__Hand,18.000000,38.000000,90.000000,top
D4,PESD2CAN,SOT-23_Handsoldering__Hand,23.000000,19.000000,90.000000,top
D6,GREEN / status,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder__Hand,118.000000,116.000000,180.000000,top
F1,1A / 125V,Fuse_Littelfuse-NANO2-451_453__Hand,38.000000,22.000000,90.000000,top
J1,NISSAN LEAF CABLE,NorComp_182-009-113R531__Hand,15.000000,11.000000,0.000000,top
J3,UART / 3.3V LOGIC,PinHeader_1x03_P2.54mm_Vertical__Hand,131.000000,9.000000,90.000000,top
L1,22uH / 3.3A sat,L_Bourns_SRN6045TA__Factory,30.000000,139.000000,0.000000,top
R1,100k / 1%,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,22.000000,121.000000,90.000000,top
R2,43.2k / 1%,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,27.000000,121.000000,0.000000,top
R3,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,106.000000,134.000000,0.000000,top
R4,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,138.000000,136.000000,90.000000,top
R5,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,114.000000,124.000000,0.000000,top
R6,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,124.000000,124.000000,0.000000,top
R7,1M / 1%,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,138.000000,147.000000,0.000000,top
R8,47k / 1%,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,145.000000,143.000000,90.000000,top
R9,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,109.000000,116.000000,0.000000,top
R10,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,33.000000,26.000000,0.000000,top
R18,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,138.000000,129.000000,0.000000,top
R19,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,138.000000,123.000000,180.000000,top
R20,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,127.000000,118.000000,0.000000,top
SW1,RESET,SW_PUSH_6mm_H4.3mm__Hand,107.000000,36.000000,0.000000,top
SW2,BOOT,SW_PUSH_6mm_H4.3mm__Hand,122.000000,36.000000,0.000000,top
U1,LMR36510ADDAR,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias__Factory,24.000000,131.000000,0.000000,top
U2,ESP32-C3-WROOM-02-N4,ESP32-C3-WROOM-02_0p3mm_Vias__Factory,122.000000,142.000000,0.000000,top
U3,TCAN3403DRQ1,SOIC8_Hand_Access__Hand,26.000000,32.000000,-90.000000,top
U4,USBLC6-2SC6 / UART ESD,SOT-23-6__Factory,134.810000,13.000000,90.000000,top
