Reference,Value,Footprint,Manufacturer,MPN,Assembly,Notes
J1,NISSAN LEAF CABLE,Leaf:NorComp_182-009-113R531__Hand,NorComp,182-009-113R531,HAND,Male DB9; only the specified Nissan OVMS cable pinout. Shell grounded. Mechanical mating review required.
F1,1A / 125V,Leaf:Fuse_Littelfuse-NANO2-451_453__Hand,Littelfuse,0451001.MRL,HAND,
D1,B1100 / 100V,Leaf:D_SMA__Hand,Diodes Incorporated,B1100-13-F,HAND,"D1 ordering-code correction 2026-09-12: verified Diodes B1100-13-F, 100 V / 1 A, SMA; cathode band to pad 1 / VPWR."
D3,SMBJ24CA,Leaf:D_SMB__Hand,Littelfuse,SMBJ24CA,HAND,
U1,LMR36510ADDAR,Leaf:Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias__Factory,Texas Instruments,LMR36510ADDAR,FACTORY,
C1,2.2uF / 100V,Leaf:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder__Hand,Murata,GRM32ER72A225KA35L,HAND,
C2,220nF / 100V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C224K1RACTU,HAND,
C3,1uF / 25V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C105K3RACTU,HAND,
C4,100nF / 50V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C104K5RACTU,HAND,
L1,22uH / 3.3A sat,Leaf:L_Bourns_SRN6045TA__Factory,Bourns,SRN6045TA-220M,FACTORY,
C5,22uF / 25V,Leaf:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder__Hand,Murata,GRM32ER71E226KE15L,HAND,
C6,22uF / 25V,Leaf:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder__Hand,Murata,GRM32ER71E226KE15L,HAND,
C7,22uF / 25V,Leaf:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder__Hand,Murata,GRM32ER71E226KE15L,HAND,
R1,100k / 1%,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-07100KL,HAND,
R2,43.2k / 1%,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-0743K2L,HAND,
U2,ESP32-C3-WROOM-02-N4,Leaf:ESP32-C3-WROOM-02_0p3mm_Vias__Factory,Espressif,ESP32-C3-WROOM-02-N4,FACTORY,
R3,10k,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-0710KL,HAND,
C8,1uF / 25V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C105K3RACTU,HAND,
C9,10uF / 16V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C106K4RACTU,HAND,
C10,100nF / 50V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C104K5RACTU,HAND,
R4,10k,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-0710KL,HAND,
R5,10k,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-0710KL,HAND,
R6,10k,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-0710KL,HAND,
SW1,RESET,Leaf:SW_PUSH_6mm_H4.3mm__Hand,Omron,B3F-1000,HAND,"Through-hole 6 x 6 mm, 4.3 mm height. Paired legs share contact 1 or 2. Fit last; do not wash switch."
SW2,BOOT,Leaf:SW_PUSH_6mm_H4.3mm__Hand,Omron,B3F-1000,HAND,"Through-hole 6 x 6 mm, 4.3 mm height. Paired legs share contact 1 or 2. Fit last; do not wash switch."
R7,1M / 1%,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-071ML,HAND,
R8,47k / 1%,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-0747KL,HAND,
C11,100nF / 50V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C104K5RACTU,HAND,
R9,1k,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-071KL,HAND,
D6,GREEN / status,Leaf:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder__Hand,Lite-On,LTST-C150KGKT,HAND,1206 green LED. Cathode is pad 1 / GND; match package cathode mark to K on board.
U3,TCAN3403DRQ1,Leaf:SOIC8_Hand_Access__Hand,Texas Instruments,TCAN3403DRQ1,HAND,
R10,10k,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-0710KL,HAND,
C12,100nF / 50V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C104K5RACTU,HAND,
C13,100nF / 50V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C104K5RACTU,HAND,
D4,PESD2CAN,Leaf:SOT-23_Handsoldering__Hand,Nexperia,"PESD2CAN,215",HAND,
C14,100nF / 50V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C104K5RACTU,HAND,Local UART ESD reference-rail bypass.
U4,USBLC6-2SC6 / UART ESD,Leaf:SOT-23-6__Factory,STMicroelectronics,USBLC6-2SC6,FACTORY,UART service connector ESD protection. Pins 1/6 and 3/4 are feed-through channels; pin 5 references 3.3 V. Not a USB interface.
J3,UART / 3.3V LOGIC,Leaf:PinHeader_1x03_P2.54mm_Vertical__Hand,Harwin,M20-9990346,HAND,Hand solder on top. Pin 1 GND; 2 board RX (adapter TX); 3 board TX (adapter RX). No supply pin. 3.3 V logic only; no RS-232. Header origin is pin 1.
R18,1k,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-071KL,HAND,"UART service series resistance; 115200 baud initial programming, short leads. Not a 5 V level shifter."
R19,1k,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-071KL,HAND,"UART service series resistance; 115200 baud initial programming, short leads. Not a 5 V level shifter."
R20,10k,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-0710KL,HAND,Hold UART RX at idle high when the programming lead is absent.
