Ref,Val,Package,PosX,PosY,Rot,Side
C1,2.2uF / 100V,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder__Hand,11.500000,79.000000,90.000000,top
C2,220nF / 100V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,18.000000,82.300000,90.000000,top
C3,1uF / 25V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,33.000000,75.000000,0.000000,top
C4,100nF / 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,32.000000,82.000000,90.000000,top
C5,22uF / 25V,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder__Hand,43.000000,89.000000,0.000000,top
C6,22uF / 25V,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder__Hand,43.000000,80.000000,0.000000,top
C7,22uF / 25V,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder__Hand,43.000000,71.000000,0.000000,top
C8,1uF / 25V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,54.000000,81.000000,0.000000,top
C9,10uF / 16V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,54.000000,90.000000,180.000000,top
C10,100nF / 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,60.500000,97.000000,180.000000,top
C11,100nF / 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,91.000000,92.000000,0.000000,top
C12,100nF / 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,26.365000,38.000000,90.000000,top
C13,100nF / 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,18.000000,23.000000,180.000000,top
C14,100nF / 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,76.810000,20.000000,90.000000,top
D1,B1100 / 100V,D_SMA__Hand,43.000000,31.000000,-90.000000,top
D3,SMBJ24CA,D_SMB__Hand,43.000000,42.000000,90.000000,top
D4,PESD2CAN,SOT-23_Handsoldering__Hand,24.000000,17.000000,90.000000,top
D6,GREEN / status,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder__Hand,65.000000,53.000000,180.000000,top
F1,1A / 125V,Fuse_Littelfuse-NANO2-451_453__Hand,43.000000,18.000000,90.000000,top
J1,NISSAN LEAF CABLE,NorComp_182-009-113R531__Hand,16.000000,9.000000,0.000000,top
J3,UART / 3.3V LOGIC,PinHeader_1x03_P2.54mm_Vertical__Hand,73.000000,8.000000,90.000000,top
L1,22uH / 3.3A sat,L_Bourns_SRN6045TA__Factory,30.000000,89.000000,0.000000,top
R1,100k / 1%,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,22.000000,71.000000,90.000000,top
R2,43.2k / 1%,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,30.000000,71.000000,0.000000,top
R3,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,54.000000,72.000000,0.000000,top
R4,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,91.000000,65.000000,90.000000,top
R5,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,58.000000,63.000000,0.000000,top
R6,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,71.000000,63.000000,0.000000,top
R7,1M / 1%,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,91.000000,84.000000,0.000000,top
R8,47k / 1%,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,91.000000,76.000000,90.000000,top
R9,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,53.000000,53.000000,0.000000,top
R10,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,38.000000,24.000000,0.000000,top
R18,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,91.000000,55.000000,0.000000,top
R19,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,91.000000,46.000000,180.000000,top
R20,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,80.000000,46.000000,0.000000,top
SW1,RESET,SW_PUSH_6mm_H4.3mm__Hand,59.000000,35.000000,0.000000,top
SW2,BOOT,SW_PUSH_6mm_H4.3mm__Hand,78.000000,35.000000,0.000000,top
U1,LMR36510ADDAR,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias__Factory,24.000000,81.000000,0.000000,top
U2,ESP32-C3-WROOM-02-N4,ESP32-C3-WROOM-02_0p3mm_Vias__Factory,73.000000,92.000000,0.000000,top
U3,TCAN3403DRQ1,SOIC8_Hand_Access__Hand,27.000000,30.000000,-90.000000,top
U4,USBLC6-2SC6 / UART ESD,SOT-23-6__Factory,76.810000,13.000000,90.000000,top
