Mouser Part Number,Manufacturer Part Number,Quantity,Dispatches Now,Unit Price NOK,Line Price NOK
576-0451001.MRL,0451001.MRL,2,2,17.30,34.60
621-B1100-F,B1100-13-F,2,2,6.72,13.44
81-GRM32ER72A225KA35,GRM32ER72A225KA35L,2,2,16.07,32.14
80-C1206C224K1R,C1206C224K1RACTU,2,2,3.94,7.88
80-C1206C105K3R,C1206C105K3RACTU,4,4,2.69,10.76
80-C1206C104K5R,C1206C104K5RACTU,12,12,0.513,6.16
603-RC1206FR-07100KL,RC1206FR-07100KL,2,2,0.96,1.92
603-RC1206FR-0743K2L,RC1206FR-0743K2L,2,2,0.96,1.92
603-RC1206FR-0710KL,RC1206FR-0710KL,12,12,0.246,2.95
80-C1206C106K4R,C1206C106K4RACTU,2,2,4.03,8.06
653-B3F-1000,B3F-1000,4,4,3.26,13.04
603-RC1206FR-071ML,RC1206FR-071ML,2,2,0.96,1.92
603-RC1206FR-0747KL,RC1206FR-0747KL,2,2,0.96,1.92
603-RC1206FR-071KL,RC1206FR-071KL,6,6,0.96,5.76
859-LTST-C150KGKT,LTST-C150KGKT,2,2,1.82,3.64
771-PESD2CAN-T/R,"PESD2CAN,215",2,2,5.95,11.90
855-M20-9990346,M20-9990346,2,2,1.25,2.50
636-182-009-113R561,182-009-113R561,2,2,27.68,55.36
595-TCAN3404DRQ1,TCAN3404DRQ1,2,2,17.52,35.04
80-C1210C226K3R7210,C1210C226K3RAC7210,6,6,14.28,85.68
576-SMBJ24CA,SMBJ24CA,2,2,5.47,10.94
