Mouser Part Number,Quantity,Customer Part Number,Manufacturer,Manufacturer Part Number
636-182-009-113R561,2,RevF-J1,NorComp,182-009-113R561
576-0451001.MRL,2,RevF-F1,Littelfuse,0451001.MRL
621-B1100-F,2,RevF-D1,Diodes Incorporated,B1100-13-F
576-SMBJ24CA,2,RevF-D3,Littelfuse,SMBJ24CA
81-GRM32ER72A225KA35,2,RevF-C1,Murata,GRM32ER72A225KA35L
80-C1206C224K1R,2,RevF-C2,KEMET,C1206C224K1RACTU
80-C1206C105K3R,4,"RevF-C3,C8",KEMET,C1206C105K3RACTU
80-C1206C104K5R,12,"RevF-C4,C10,C11,C12,C13,C14",KEMET,C1206C104K5RACTU
80-C1210C226K3R7210,6,"RevF-C5,C6,C7",KEMET,C1210C226K3RAC7210
603-RC1206FR-07100KL,2,RevF-R1,Yageo,RC1206FR-07100KL
603-RC1206FR-0743K2L,2,RevF-R2,Yageo,RC1206FR-0743K2L
603-RC1206FR-0710KL,12,"RevF-R3,R4,R5,R6,R10,R20",Yageo,RC1206FR-0710KL
80-C1206C106K4R,2,RevF-C9,KEMET,C1206C106K4RACTU
653-B3F-1000,4,"RevF-SW1,SW2",Omron,B3F-1000
603-RC1206FR-071ML,2,RevF-R7,Yageo,RC1206FR-071ML
603-RC1206FR-0747KL,2,RevF-R8,Yageo,RC1206FR-0747KL
603-RC1206FR-071KL,6,"RevF-R9,R18,R19",Yageo,RC1206FR-071KL
859-LTST-C150KGKT,2,RevF-D6,Lite-On,LTST-C150KGKT
595-TCAN3404DRQ1,2,RevF-U3,Texas Instruments,TCAN3404DRQ1
771-PESD2CAN-T/R,2,RevF-D4,Nexperia,"PESD2CAN,215"
855-M20-9990346,2,RevF-J3,Harwin,M20-9990346
