Reference,Value,Footprint,Manufacturer,MPN,Assembly,Notes
J1,NISSAN LEAF CABLE,Leaf:NorComp_182-009-113R561__Hand,NorComp,182-009-113R561,HAND,Male DB9 with fork boardlocks and fitted 4-40 female screwlocks. Same 2.77 x 2.84 mm contacts and 24.99 mm anchor centres. Nissan OVMS cable pinout only; verify actual cable mating before power.
F1,1A / 125V,Leaf:Fuse_Littelfuse-NANO2-451_453__Hand,Littelfuse,0451001.MRL,HAND,
D1,B1100 / 100V,Leaf:D_SMA__Hand,Diodes Incorporated,B1100-13-F,HAND,"D1 ordering-code correction 2026-09-12: verified Diodes B1100-13-F, 100 V / 1 A, SMA; cathode band to pad 1 / VPWR."
D3,SMBJ24CA,Leaf:D_SMB__Hand,Littelfuse,SMBJ24CA,HAND,
U1,LMR36510ADDAR,Leaf:LMR36510_DDA_FilledCapped_G5__Factory,Texas Instruments,LMR36510ADDAR,FACTORY, G.5: epoxy-filled/copper-capped thermal holes; JLC normal stencil process.
C1,2.2uF / 100V,Leaf:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder__Hand,Murata,GRM32ER72A225KA35L,HAND,
C2,220nF / 100V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C224K1RACTU,HAND,
C3,1uF / 25V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C105K3RACTU,HAND,
C4,100nF / 50V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C104K5RACTU,HAND,
L1,22uH / 3.3A sat,Leaf:L_Bourns_SRN6045TA__Factory,Bourns,SRN6045TA-220M,FACTORY,
C5,22uF / 25V,Leaf:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder__Hand,KEMET,C1210C226K3RAC7210,HAND,"22 uF, 25 V, X7R, 10%, 1210. Fit all three output capacitors. Purchase cut tape, not a full reel. See DESIGN-REVIEW.md for DC-bias assessment and bench validation."
C6,22uF / 25V,Leaf:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder__Hand,KEMET,C1210C226K3RAC7210,HAND,"22 uF, 25 V, X7R, 10%, 1210. Fit all three output capacitors. Purchase cut tape, not a full reel. See DESIGN-REVIEW.md for DC-bias assessment and bench validation."
C7,22uF / 25V,Leaf:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder__Hand,KEMET,C1210C226K3RAC7210,HAND,"22 uF, 25 V, X7R, 10%, 1210. Fit all three output capacitors. Purchase cut tape, not a full reel. See DESIGN-REVIEW.md for DC-bias assessment and bench validation."
R1,100k / 1%,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-07100KL,HAND,
R2,43.2k / 1%,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-0743K2L,HAND,
U2,ESP32-C3-WROOM-02U-N4,Leaf:ESP32-C3-WROOM-02U_FilledCapped_G5__Factory,Espressif,ESP32-C3-WROOM-02U-N4,FACTORY,"G.3: U.FL external antenna connector. Fit ANT1 before enabling Wi-Fi. Pad geometry, GPIOs and 4 MB flash unchanged. G.5: epoxy-filled/copper-capped thermal holes; JLC normal stencil process."
