References,Value,Manufacturer,MPN,Qty for ONE board,Qty for TWO boards,Footprint,Datasheet,Notes
J1,NISSAN LEAF CABLE,NorComp,182-009-113R561,1,2,Leaf:NorComp_182-009-113R561__Hand,https://content.norcomp.net/rohspdfs/Connectors/18Y/182/182-yyy-113Ryy1.pdf,Male DB9 with fork boardlocks and fitted 4-40 female screwlocks. Same 2.77 x 2.84 mm contacts and 24.99 mm anchor centres. Nissan OVMS cable pinout only; verify actual cable mating before power.
F1,1A / 125V,Littelfuse,0451001.MRL,1,2,Leaf:Fuse_Littelfuse-NANO2-451_453__Hand,,
D1,B1100 / 100V,Diodes Incorporated,B1100-13-F,1,2,Leaf:D_SMA__Hand,https://www.diodes.com/datasheet/download/B1100.pdf,"D1 ordering-code correction 2026-09-12: verified Diodes B1100-13-F, 100 V / 1 A, SMA; cathode band to pad 1 / VPWR."
D3,SMBJ24CA,Littelfuse,SMBJ24CA,1,2,Leaf:D_SMB__Hand,,
C1,2.2uF / 100V,Murata,GRM32ER72A225KA35L,1,2,Leaf:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder__Hand,,
"C2,C16",220nF / 100V,KEMET,C1206C224K1RACTU,2,4,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,https://search.kemet.com/component-documentation/download/specsheet/C1206C224K1RACTU,
"C3,C8",1uF / 25V,KEMET,C1206C105K3RACTU,2,4,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,https://search.kemet.com/component-documentation/download/specsheet/C1206C105K3RACTU,
"C4,C10,C11,C12,C13,C14,C17,C20",100nF / 50V,KEMET,C1206C104K5RACTU,8,16,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,https://search.kemet.com/component-documentation/download/specsheet/C1206C104K5RACTU,Additional 3V3-to-GND bypass retained. U3 pin 5 is now SHDN/GND and must not connect to this capacitor's 3V3 terminal. | Local UART ESD reference-rail bypass.
"C5,C6,C7",22uF / 25V,KEMET,C1210C226K3RAC7210,3,6,Leaf:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder__Hand,https://search.kemet.com/component-documentation/download/specsheet/C1210C226K3RAC7210,"22 uF, 25 V, X7R, 10%, 1210. Fit all three output capacitors. Purchase cut tape, not a full reel. See DESIGN-REVIEW.md for DC-bias assessment and bench validation."
"R1,R26",100k / 1%,Yageo,RC1206FR-07100KL,2,4,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,
