Mouser Part Number,Manufacturer Part Number,Quantity,PCB references,Manufacturer,Description,Supplier customer label,Unit Price NOK,Line Total NOK,Supplier lifecycle flag,Availability verified in Chrome
576-0451001.MRL,0451001.MRL,2,RevG-F1,Littelfuse,Surface Mount Fuses 125VAC 1A .078ohms 451 NANO2,,17.30,34.60,Not stated in export,Requested quantity dispatches now (2026-09-13)
621-B1100-F,B1100-13-F,2,RevG-D1,Diodes Incorporated,Schottky Diodes & Rectifiers 100V 1A,,6.72,13.44,Not stated in export,Requested quantity dispatches now (2026-09-13)
81-GRM32ER72A225KA35,GRM32ER72A225KA35L,2,RevG-C1,Murata,Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2 uF 100 VDC 10% 1210 X7R,,16.07,32.14,End of Life,Requested quantity dispatches now (2026-09-13)
80-C1206C224K1R,C1206C224K1RACTU,4,"RevG-C2,C16",KEMET,Multilayer Ceramic Capacitors MLCC - SMD/SMT 100V 0.22uF X7R 1206 10%,,3.94,15.76,Not stated in export,Requested quantity dispatches now (2026-09-13)
80-C1206C105K3R,C1206C105K3RACTU,4,"RevG-C3,C8",KEMET,Multilayer Ceramic Capacitors MLCC - SMD/SMT 25V 1uF X7R 1206 10%,,2.69,10.76,Not stated in export,Requested quantity dispatches now (2026-09-13)
80-C1206C104K5R,C1206C104K5RACTU,16,"RevG-C4,C10,C11,C12,C13,C14,C17,C20",KEMET,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF X7R 1206 10%,,0.513,8.21,Not stated in export,Requested quantity dispatches now (2026-09-13)
603-RC1206FR-07100KL,RC1206FR-07100KL,4,"RevG-R1,R26",YAGEO,"Thick Film Resistors - SMD General Purpose Chip Resistor 1206, 100kOhms, 1%, 1/4W",,0.96,3.84,Not stated in export,Requested quantity dispatches now (2026-09-13)
603-RC1206FR-0743K2L,RC1206FR-0743K2L,2,RevG-R2,YAGEO,"Thick Film Resistors - SMD General Purpose Chip Resistor 1206, 43.2kOhms, 1%, 1/4W",,0.96,1.92,Not stated in export,Requested quantity dispatches now (2026-09-13)
603-RC1206FR-0710KL,RC1206FR-0710KL,12,"RevG-R3,R4,R5,R6,R10,R20",YAGEO,"Thick Film Resistors - SMD General Purpose Chip Resistor 1206, 10kOhms, 1%, 1/4W",,0.246,2.95,Not stated in export,Requested quantity dispatches now (2026-09-13)
80-C1206C106K4R,C1206C106K4RACTU,6,"RevG-C9,C18,C19",KEMET,Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V 10uF X7R 1206 10%,,4.03,24.18,Not stated in export,Requested quantity dispatches now (2026-09-13)
603-RC1206FR-071ML,RC1206FR-071ML,2,RevG-R7,YAGEO,"Thick Film Resistors - SMD General Purpose Chip Resistor 1206, 1MOhms, 1%, 1/4W",,0.96,1.92,Not stated in export,Requested quantity dispatches now (2026-09-13)
603-RC1206FR-0747KL,RC1206FR-0747KL,2,RevG-R8,YAGEO,"Thick Film Resistors - SMD General Purpose Chip Resistor 1206, 47kOhms, 1%, 1/4W",,0.96,1.92,Not stated in export,Requested quantity dispatches now (2026-09-13)
603-RC1206FR-071KL,RC1206FR-071KL,6,"RevG-R9,R18,R19",YAGEO,"Thick Film Resistors - SMD General Purpose Chip Resistor 1206, 1kOhms, 1%, 1/4W",,0.96,5.76,Not stated in export,Requested quantity dispatches now (2026-09-13)
859-LTST-C150KGKT,LTST-C150KGKT,2,RevG-D6,LITEON,Single Colour LEDs Green Clear 571nm,,1.82,3.64,Not stated in export,Requested quantity dispatches now (2026-09-13)
771-PESD2CAN-T/R,"PESD2CAN,215",2,RevG-D4,Nexperia,ESD Protection Diodes / TVS Diodes PESD2CAN/SOT23/TO-236AB,,5.95,11.90,NRND,Requested quantity dispatches now (2026-09-13)
855-M20-9990346,M20-9990346,2,RevG-J3,Harwin,Headers & Wire Housings M20 03 SIL VERTICAL PIN HEADER TIN,,1.25,2.50,Not stated in export,Requested quantity dispatches now (2026-09-13)
636-182-009-113R561,182-009-113R561,2,RevG-J1,NorComp,"D-Sub Standard Connectors Male .318"" Footprint D-Sub 9 Position Right Angle PCB Dip Solder",RevG-J1,27.68,55.36,Not stated in export,Requested quantity dispatches now (2026-09-13)
595-TCAN3404DRQ1,TCAN3404DRQ1,2,RevG-U3,Texas Instruments,CAN Interface IC Automotive 3.3V CAN flexible-data-rate (,RevG-U3,17.52,35.04,Not stated in export,Requested quantity dispatches now (2026-09-13)
80-C1210C226K3R7210,C1210C226K3RAC7210,6,"RevG-C5,C6,C7",KEMET,Multilayer Ceramic Capacitors MLCC - SMD/SMT 25 Vo 22 uF 1210 X7R 10 %,,14.28,85.68,Not stated in export,Requested quantity dispatches now (2026-09-13)
576-SMBJ24CA,SMBJ24CA,2,RevG-D3,Littelfuse,ESD Protection Diodes / TVS Diodes 600W 24V 5% Bi-Directional,,5.47,10.94,Not stated in export,Requested quantity dispatches now (2026-09-13)
603-RT1206BRD07680KL,RT1206BRD07680KL,2,RevG-R22,YAGEO,Thin Film Resistors - SMD 1/4W 680K ohm .1% 25ppm,,2.02,4.04,Not stated in export,Requested quantity dispatches now (2026-09-13)
603-RT1206BRD0747KL,RT1206BRD0747KL,2,RevG-R23,YAGEO,Thin Film Resistors - SMD 1/4W 47K ohm .1% 25ppm,,2.02,4.04,Not stated in export,Requested quantity dispatches now (2026-09-13)
667-EEU-FR1J470H,EEU-FR1J470H,2,RevG-C15,Panasonic,Aluminium Electrolytic Capacitors - Radial Leaded 63VDC47uF6.3x11.2mm LS 2.5mmTaped Leads,,4.70,9.40,Not stated in export,Requested quantity dispatches now (2026-09-13)
71-CRCW25121R00FKEGH,CRCW25121R00FKEGHP,2,RevG-R21,Vishay,Thick Film Resistors - SMD 2.0W 1ohms 1% High Power AEC-Q200,,9.22,18.44,Not stated in export,Requested quantity dispatches now (2026-09-13)
603-RC1206FR-0710ML,RC1206FR-0710ML,2,RevG-R24,YAGEO,"Thick Film Resistors - SMD General Purpose Chip Resistor 1206, 10MOhms, 1%, 1/4W",,0.96,1.92,Not stated in export,Requested quantity dispatches now (2026-09-13)
603-RC1206FR-07470KL,RC1206FR-07470KL,2,RevG-R25,YAGEO,"Thick Film Resistors - SMD General Purpose Chip Resistor 1206, 470kOhms, 1%, 1/4W",,0.96,1.92,Not stated in export,Requested quantity dispatches now (2026-09-13)
611-PTS645SL432,PTS645SL43-2 LFS,4,"RevG-SW1,SW2",C&K Switches,Tactile Switches PTS645SL43-2 LFS,,2.59,10.36,Not stated in export,Requested quantity dispatches now (2026-09-13)
