Mouser Part Number,Manufacturer Part Number,Manufacturer,Quantity,Required for two boards,Spare Quantity,Workshop Quantity,PCB references / purpose,Description,Unit Price NOK,Line Total NOK,Supplier lifecycle flag,Availability observed in Chrome
576-0451001.MRL,0451001.MRL,Littelfuse,4,2,2,0,RevG-F1,Surface Mount Fuses 125VAC 1A .078ohms 451 NANO2,17.30,69.20,Not stated,All requested units Dispatches Now (2026-09-14)
621-B1100-F,B1100-13-F,Diodes Incorporated,2,2,0,0,RevG-D1,Schottky Diodes & Rectifiers 100V 1A,6.72,13.44,Not stated,All requested units Dispatches Now (2026-09-14)
81-GRM32ER72A225KA35,GRM32ER72A225KA35L,Murata,4,2,2,0,RevG-C1,Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2 uF 100 VDC 10% 1210 X7R,16.07,64.28,End of Life,All requested units Dispatches Now (2026-09-14)
80-C1206C224K1R,C1206C224K1RACTU,KEMET,6,4,2,0,"RevG-C2,C16",Multilayer Ceramic Capacitors MLCC - SMD/SMT 100V 0.22uF X7R 1206 10%,3.94,23.64,Not stated,All requested units Dispatches Now (2026-09-14)
80-C1206C105K3R,C1206C105K3RACTU,KEMET,6,4,2,0,"RevG-C3,C8",Multilayer Ceramic Capacitors MLCC - SMD/SMT 25V 1uF X7R 1206 10%,2.69,16.14,Not stated,All requested units Dispatches Now (2026-09-14)
80-C1206C104K5R,C1206C104K5RACTU,KEMET,20,16,4,0,"RevG-C4,C10,C11,C12,C13,C14,C17,C20",Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF X7R 1206 10%,0.513,10.26,Not stated,All requested units Dispatches Now (2026-09-14)
603-RC1206FR-07100KL,RC1206FR-07100KL,YAGEO,6,4,2,0,"RevG-R1,R26","Thick Film Resistors - SMD General Purpose Chip Resistor 1206, 100kOhms, 1%, 1/4W",0.96,5.76,Not stated,All requested units Dispatches Now (2026-09-14)
603-RC1206FR-0743K2L,RC1206FR-0743K2L,YAGEO,4,2,2,0,RevG-R2,"Thick Film Resistors - SMD General Purpose Chip Resistor 1206, 43.2kOhms, 1%, 1/4W",0.96,3.84,Not stated,All requested units Dispatches Now (2026-09-14)
603-RC1206FR-0710KL,RC1206FR-0710KL,YAGEO,20,12,8,0,"RevG-R3,R4,R5,R6,R10,R20","Thick Film Resistors - SMD General Purpose Chip Resistor 1206, 10kOhms, 1%, 1/4W",0.246,4.92,Not stated,All requested units Dispatches Now (2026-09-14)
80-C1206C106K4R,C1206C106K4RACTU,KEMET,8,6,2,0,"RevG-C9,C18,C19",Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V 10uF X7R 1206 10%,4.03,32.24,Not stated,All requested units Dispatches Now (2026-09-14)
603-RC1206FR-071ML,RC1206FR-071ML,YAGEO,4,2,2,0,RevG-R7,"Thick Film Resistors - SMD General Purpose Chip Resistor 1206, 1MOhms, 1%, 1/4W",0.96,3.84,Not stated,All requested units Dispatches Now (2026-09-14)
603-RC1206FR-0747KL,RC1206FR-0747KL,YAGEO,4,2,2,0,RevG-R8,"Thick Film Resistors - SMD General Purpose Chip Resistor 1206, 47kOhms, 1%, 1/4W",0.96,3.84,Not stated,All requested units Dispatches Now (2026-09-14)
603-RC1206FR-071KL,RC1206FR-071KL,YAGEO,10,6,4,0,"RevG-R9,R18,R19","Thick Film Resistors - SMD General Purpose Chip Resistor 1206, 1kOhms, 1%, 1/4W",0.246,2.46,Not stated,All requested units Dispatches Now (2026-09-14)
