Mouser Part Number,Additional Quantity,Purpose
81-GRM32ER72A225KA35,2,Spare for RevG-C1
80-C1206C224K1R,2,"Spare for RevG-C2,C16"
80-C1206C105K3R,2,"Spare for RevG-C3,C8"
80-C1206C104K5R,4,"Spare for RevG-C4,C10,C11,C12,C13,C14,C17,C20"
80-C1210C226K3R7210,2,"Spare for RevG-C5,C6,C7"
603-RC1206FR-07100KL,2,"Spare for RevG-R1,R26"
603-RC1206FR-0743K2L,2,Spare for RevG-R2
603-RC1206FR-0710KL,8,"Spare for RevG-R3,R4,R5,R6,R10,R20"
80-C1206C106K4R,2,"Spare for RevG-C9,C18,C19"
603-RC1206FR-071ML,2,Spare for RevG-R7
603-RC1206FR-0747KL,2,Spare for RevG-R8
603-RC1206FR-071KL,4,"Spare for RevG-R9,R18,R19"
667-EEU-FR1J470H,2,Spare for RevG-C15
71-CRCW25121R00FKEGH,2,Spare for RevG-R21
603-RT1206BRD07680KL,2,Spare for RevG-R22
603-RT1206BRD0747KL,2,Spare for RevG-R23
603-RC1206FR-0710ML,2,Spare for RevG-R24
603-RC1206FR-07470KL,2,Spare for RevG-R25
576-0451001.MRL,2,Spare for RevG-F1
595-TCAN3404DRQ1,1,Spare for RevG-U3
771-PESD2CAN-T/R,1,Spare for RevG-D4
895-TTL-232R-RPI,1,3.3 V USB-to-UART programming cable; USB-A; three individual female connectors
910-CQ4LF,1,10 ml no-clean flux pen
910-CQ-ESD-12,1,Fine straight ESD tweezers
5878-80-2-5,1,1.5 mm desoldering braid
910-SMDSWLF.0201OZ,1,0.5 mm SAC305 lead-free solder wire; 1 oz reel; 2.2% flux core
485-1950,1,Pack of 20 female/female 150 mm jumper wires
424-240-137,1,Pack of five mini-grabber clips with attached leads
