Mouser Part Number,Quantity,Customer Part Number,Manufacturer,Manufacturer Part Number
636-182-009-113R561,2,RevG-J1,NorComp,182-009-113R561
576-0451001.MRL,4,RevG-F1,Littelfuse,0451001.MRL
621-B1100-F,2,RevG-D1,Diodes Incorporated,B1100-13-F
576-SMBJ24CA,2,RevG-D3,Littelfuse,SMBJ24CA
81-GRM32ER72A225KA35,4,RevG-C1,Murata,GRM32ER72A225KA35L
80-C1206C224K1R,6,"RevG-C2,C16",KEMET,C1206C224K1RACTU
80-C1206C105K3R,6,"RevG-C3,C8",KEMET,C1206C105K3RACTU
80-C1206C104K5R,20,"RevG-C4,C10,C11,C12,C13,C14,C17,C20",KEMET,C1206C104K5RACTU
80-C1210C226K3R7210,8,"RevG-C5,C6,C7",KEMET,C1210C226K3RAC7210
603-RC1206FR-07100KL,6,"RevG-R1,R26",Yageo,RC1206FR-07100KL
603-RC1206FR-0743K2L,4,RevG-R2,Yageo,RC1206FR-0743K2L
603-RC1206FR-0710KL,20,"RevG-R3,R4,R5,R6,R10,R20",Yageo,RC1206FR-0710KL
80-C1206C106K4R,8,"RevG-C9,C18,C19",KEMET,C1206C106K4RACTU
611-PTS645SL432,4,"RevG-SW1,SW2",C&K / Littelfuse,PTS645SL43-2 LFS
603-RC1206FR-071ML,4,RevG-R7,Yageo,RC1206FR-071ML
603-RC1206FR-0747KL,4,RevG-R8,Yageo,RC1206FR-0747KL
603-RC1206FR-071KL,10,"RevG-R9,R18,R19",Yageo,RC1206FR-071KL
859-LTST-C150KGKT,2,RevG-D6,Lite-On,LTST-C150KGKT
595-TCAN3404DRQ1,3,RevG-U3,Texas Instruments,TCAN3404DRQ1
771-PESD2CAN-T/R,3,RevG-D4,Nexperia,"PESD2CAN,215"
855-M20-9990346,2,RevG-J3,Harwin,M20-9990346
667-EEU-FR1J470H,4,RevG-C15,Panasonic,EEU-FR1J470H
71-CRCW25121R00FKEGH,4,RevG-R21,Vishay,CRCW25121R00FKEGHP
603-RT1206BRD07680KL,4,RevG-R22,Yageo,RT1206BRD07680KL
603-RT1206BRD0747KL,4,RevG-R23,Yageo,RT1206BRD0747KL
603-RC1206FR-0710ML,4,RevG-R24,Yageo,RC1206FR-0710ML
603-RC1206FR-07470KL,4,RevG-R25,Yageo,RC1206FR-07470KL
538-146153-0300,2,RevG3-ANT1,Molex,146153-0300
895-TTL-232R-RPI,1,Workshop,FTDI,TTL-232R-RPI
910-CQ4LF,1,Workshop,Chip Quik,CQ4LF
910-CQ-ESD-12,1,Workshop,Chip Quik,CQ-ESD-12
5878-80-2-5,1,Workshop,Chemtronics,80-2-5
910-SMDSWLF.0201OZ,1,Workshop,Chip Quik,SMDSWLF.020 1oz
485-1950,1,Workshop,Adafruit,1950
424-240-137,1,Workshop,Digilent,240-137
