Reference,Hole,X mm,Y mm,Drill mm,Treatment
U1,1,23.350000,82.300000,0.33,"Epoxy filled, planarized and copper capped"
U1,2,23.350000,81.000000,0.33,"Epoxy filled, planarized and copper capped"
U1,3,23.350000,79.700000,0.33,"Epoxy filled, planarized and copper capped"
U1,4,24.650000,82.300000,0.33,"Epoxy filled, planarized and copper capped"
U1,5,24.650000,81.000000,0.33,"Epoxy filled, planarized and copper capped"
U1,6,24.650000,79.700000,0.33,"Epoxy filled, planarized and copper capped"
U2,1,72.860000,92.350000,0.30,"Epoxy filled, planarized and copper capped"
U2,2,72.860000,91.250000,0.30,"Epoxy filled, planarized and copper capped"
U2,3,73.410000,92.900000,0.30,"Epoxy filled, planarized and copper capped"
U2,4,73.410000,91.800000,0.30,"Epoxy filled, planarized and copper capped"
U2,5,73.410000,90.700000,0.30,"Epoxy filled, planarized and copper capped"
U2,6,73.960000,92.350000,0.30,"Epoxy filled, planarized and copper capped"
U2,7,73.960000,91.250000,0.30,"Epoxy filled, planarized and copper capped"
U2,8,74.510000,92.900000,0.30,"Epoxy filled, planarized and copper capped"
U2,9,74.510000,91.800000,0.30,"Epoxy filled, planarized and copper capped"
U2,10,74.510000,90.700000,0.30,"Epoxy filled, planarized and copper capped"
U2,11,75.060000,92.350000,0.30,"Epoxy filled, planarized and copper capped"
U2,12,75.060000,91.250000,0.30,"Epoxy filled, planarized and copper capped"
